ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,near_vx_bin_counts,near_vy_bin_counts,near_theta_bin_counts,near_omega_bin_counts,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_omega_abs_p90
320,0,crash,1,1,1,374.9351050898898,1907,918.0,918.0,0.8521096925306499,0.1,0.0026496381033211946,2.094120502471924,-32.19332504272461,198.3256072998047,500.0,8.432592032793028,911,-3.8119999999998018,-49.68548694289736,-80.0,0.0,0.1966099135238017,{1: 190},{1: 190},{1: 190},{1: 190},{1: 41},{1: 41},{1: 41},{1: 41},0.03852452174736884,0.03858972904406425,0.03946639407593086,0.03836222312362282,0.021152178173491833
330,0,max_steps,1,0,0,0.6791693984110236,2500,,,0.84785871753157,0.1,0.002808498917147517,2.1541342735290527,-32.19332504272461,202.94131469726562,0.0,5.679169398410936,1248,-4.999999999999671,0.0,0.0,0.0,0.0002716677593644095,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.027301105361608045,0.024876035527341467,0.037850801411723166,0.04420486175085451,
340,0,max_steps,1,0,0,-65.09477123268377,2500,,,0.8436289496477257,0.1,0.003243368584662676,2.2073488235473633,-28.658720016479492,206.86407470703125,0.0,0.3965405339502598,174,-4.999999999999671,-60.4913117666342,0.0,0.0,-0.026037908493073508,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.04331312633694769,0.02885831706534749,0.04468038011890963,0.039937833507972524,
350,0,max_steps,1,0,0,-15.407844785397096,2500,,,0.8394202830818028,0.1,0.0021805958822369576,2.211946725845337,-28.658720016479492,206.86407470703125,0.0,0.08876644335643336,74,-4.999999999999671,-10.496611228753796,0.0,0.0,-0.006163137914158838,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.015632282718949335,0.024824381269997656,0.0219623288092827,0.027485269163862246,
360,0,max_steps,1,0,0,1.3060522157027055,2500,,,0.8352326125642855,0.1,0.0021748843137174845,2.277942419052124,-30.894376754760742,211.96075439453125,0.0,6.306052215702533,1363,-4.999999999999671,0.0,0.0,0.0,0.0005224208862810822,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.016193909826090903,0.02489094385241147,0.02379564491943387,0.028321252124279488,
370,0,max_steps,1,0,0,-3.376119117068177,2500,,,0.8310658333508228,0.1,0.0023415815085172653,2.3219776153564453,-37.734806060791016,212.66270446777344,0.0,1.6238808829315639,397,-4.999999999999671,0.0,0.0,0.0,-0.0013504476468272708,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.03687277212893213,0.02501899407264631,0.039796028215894855,0.03579328761896857,
380,0,crash,1,0,1,-153.8318096145867,2093,,,0.8269198412196082,0.1,0.0017840185901150107,2.3559834957122803,-38.857826232910156,214.36216735839844,0.0,2.167146717623706,685,-4.185999999999761,-71.81295633221049,-80.0,0.0,-0.07349823679626694,{1: 209},{1: 209},{1: 209},{1: 209},{},{},{},{},0.025485089159561332,0.031958098798013514,0.03232907873765373,0.03834408166106651,
390,0,max_steps,1,0,0,-3.05339460508045,2500,,,0.8227945324687735,0.1,0.0026241401210427284,2.4332265853881836,-38.857826232910156,201.79124450683594,0.0,1.9466053949192652,424,-4.999999999999671,0.0,0.0,0.0,-0.00122135784203218,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.033113243436235076,0.029869154286252975,0.03997483751060117,0.04424973864524262,
400,0,max_steps,1,0,0,-58.30050327141126,2500,,,0.8186898039137951,0.1,0.0038344785571098328,2.472473621368408,-38.857826232910156,206.98678588867188,0.0,2.966311305157343,501,-4.999999999999671,-56.26681457656865,0.0,0.0,-0.023320201308564503,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.08147698002271905,0.026130883282832442,0.09234991896456984,0.061673602796357,
410,0,max_steps,1,1,0,515.0377474115277,2500,1689.0,1689.0,0.8146055528849124,0.1,0.0045716650784015656,2.5472147464752197,-38.857826232910156,227.15213012695312,500.0,20.035747411499447,1465,-4.997999999999672,0.0,0.0,0.0,0.20601509896461107,{1: 250},{1: 250},{1: 250},{1: 250},{1: 66},{1: 66},{1: 66},{1: 66},0.07590655442438662,0.02957889121172116,0.09701400155907132,0.07754411559468188,0.07021821914093143
420,0,max_steps,1,1,0,497.7333278855129,2500,434.0,434.0,0.8105416772245603,0.1,0.005344076082110405,2.618016242980957,-40.197776794433594,234.28280639648438,500.0,9.885456940635045,1491,-4.997999999999672,-7.154129055113984,0.0,0.0,0.19909333115420516,{1: 250},{1: 250},{1: 250},{1: 250},{1: 43},{1: 43},{1: 43},{1: 43},0.036210966494588076,0.03524279701331841,0.0518717538310727,0.052788066363395135,0.025089028507050932
430,0,max_steps,1,0,0,-4.151017146673366,2500,,,0.8064980752848135,0.1,0.004974331706762314,2.618089199066162,-40.197776794433594,234.28280639648438,0.0,0.8489828533263716,513,-4.999999999999671,0.0,0.0,0.0,-0.0016604068586693465,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.021806474991414974,0.023780089604766005,0.02762525809015666,0.029159379074938048,
440,0,max_steps,1,0,0,3.4011208113783606,2500,,,0.8024746459248447,0.1,0.0055123865604400635,2.6692042350769043,-40.197776794433594,235.8402862548828,0.0,8.401120811378211,1155,-4.999999999999671,0.0,0.0,0.0,0.0013604483245513443,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.052745660901239624,0.02358771709216606,0.07565660507776459,0.10348233387946346,
450,0,max_steps,1,0,0,2.167724612298966,2500,,,0.7984712885083941,0.1,0.00499421451240778,2.5957539081573486,-40.197776794433594,205.70401000976562,0.0,7.167724612298962,1291,-4.999999999999671,0.0,0.0,0.0,0.0008670898449195864,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.02080203915399232,0.026388492540194236,0.028593935318648695,0.034766203360857915,
460,0,max_steps,1,0,0,0.49302029788866136,2500,,,0.7944879029012528,0.1,0.003999887499958277,2.5685157775878906,-40.197776794433594,204.53018188476562,0.0,5.4930202978886635,913,-4.999999999999671,0.0,0.0,0.0,0.00019720811915546453,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.03284523364505767,0.02510056519262076,0.041967652268392885,0.03892654016676808,
470,0,crash,1,0,1,-148.93588002859025,2242,,,0.7905243894687576,0.1,0.0027897441759705544,2.5693304538726807,-39.910736083984375,204.53018188476562,0.0,2.706955928935298,605,-4.483999999999728,-67.15883595752554,-80.0,0.0,-0.0664299197272927,{1: 224},{1: 224},{1: 224},{1: 224},{},{},{},{},0.030256088252216998,0.03921907330611206,0.03875698351421593,0.0469077008988068,
480,0,max_steps,1,1,0,495.5401153965702,2500,1031.0,1031.0,0.7865806490732993,0.1,0.002314735436812043,2.541599750518799,-42.921722412109375,198.13897705078125,500.0,13.24033822938169,1422,-4.997999999999672,-12.702222832803463,0.0,0.0,0.19821604615862806,{1: 250},{1: 250},{1: 250},{1: 250},{1: 176},{1: 176},{1: 176},{1: 176},0.04131410621768088,0.030452332788261864,0.05167733901843498,0.056913285927168995,0.05694469063923252
490,0,max_steps,1,0,0,-18.759947990226788,2500,,,0.7826565830718433,0.1,0.0031359598506242037,2.5916101932525635,-42.921722412109375,225.4127655029297,0.0,4.197997772709653,773,-4.999999999999671,-17.957945762936465,0.0,0.0,-0.007503979196090715,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.036789590379724686,0.03509230367497397,0.04684325270531972,0.05682386952121862,
500,0,max_steps,1,0,0,5.2744576789011335,2500,,,0.7787520933134615,0.1,0.0017157929250970483,2.5207748413085938,-42.921722412109375,195.35458374023438,0.0,10.27445767890093,1226,-4.999999999999671,0.0,0.0,0.0,0.0021097830715604534,{1: 250},{1: 250},{1: 250},{1: 250},{1: 3},{1: 3},{1: 3},{1: 3},0.04683656573069587,0.02569615203636514,0.059156734310303216,0.05969574653754361,0.003081851847120782
