Timestamp,Model,Param_Setting,Episode,Target_Index,Start_X,Start_Y,Target_X,Target_Y,Distance,Steps_Taken,Total_Thrust,Success
15:59:17,HeuristicController,ky=0.5,0,2,-0.13,0.03,-0.21,-0.04,0.10,195,184.67,1
15:59:17,HeuristicController,ky=0.5,0,3,-0.11,-0.05,-0.08,0.37,0.42,373,461.77,1
15:59:22,HeuristicController,ky=0.5,0,4,-0.15,0.30,0.02,0.29,0.17,98902,111571.88,0
15:59:22,HeuristicController,ky=1.0,0,0,0.00,0.00,-0.06,-0.30,0.30,110,63.17,1
15:59:22,HeuristicController,ky=1.0,0,1,-0.00,-0.21,0.48,-0.14,0.48,671,708.16,1
15:59:22,HeuristicController,ky=1.0,0,2,0.38,-0.14,-0.09,0.44,0.75,395,457.95,1
15:59:22,HeuristicController,ky=1.0,0,3,0.00,0.46,0.05,-0.12,0.58,162,81.54,1
15:59:22,HeuristicController,ky=1.0,0,4,-0.05,-0.09,0.46,0.15,0.56,853,919.77,1
15:59:22,HeuristicController,ky=1.0,0,5,0.36,0.14,0.40,-0.26,0.41,547,531.41,1
15:59:22,HeuristicController,ky=1.0,0,6,0.30,-0.27,-0.42,-0.49,0.75,413,449.41,1
15:59:22,HeuristicController,ky=1.0,0,7,-0.51,-0.51,-0.48,-0.11,0.41,291,346.84,1
15:59:22,HeuristicController,ky=1.0,0,8,-0.39,-0.08,-0.44,0.38,0.46,374,488.10,1
15:59:26,HeuristicController,ky=1.0,0,9,-0.45,0.28,-0.29,-0.29,0.59,96184,105399.30,0
15:59:26,HeuristicController,ky=2.0,0,0,0.00,0.00,0.23,-0.20,0.30,246,237.13,1
15:59:26,HeuristicController,ky=2.0,0,1,0.13,-0.23,0.10,-0.37,0.15,210,185.87,1
15:59:26,HeuristicController,ky=2.0,0,2,0.17,-0.45,-0.06,0.14,0.63,828,913.16,1
15:59:26,HeuristicController,ky=2.0,0,3,-0.15,0.11,-0.38,0.46,0.41,169,229.74,1
15:59:30,HeuristicController,ky=2.0,0,4,-0.28,0.47,0.25,-0.12,0.79,98547,106213.65,0
15:59:30,HeuristicController,ky=5.0,0,0,0.00,0.00,0.27,-0.49,0.56,289,266.17,1
15:59:30,HeuristicController,ky=5.0,0,1,0.18,-0.52,-0.26,-0.03,0.66,418,457.97,1
15:59:30,HeuristicController,ky=5.0,0,2,-0.17,0.01,-0.13,-0.38,0.39,126,50.40,1
15:59:30,HeuristicController,ky=5.0,0,3,-0.21,-0.32,0.40,-0.34,0.60,848,895.86,1
15:59:30,HeuristicController,ky=5.0,0,4,0.30,-0.34,-0.18,0.34,0.83,286,384.50,1
15:59:30,HeuristicController,ky=5.0,0,5,-0.09,0.40,0.20,-0.23,0.69,833,828.29,1
15:59:30,HeuristicController,ky=5.0,0,6,0.10,-0.23,0.01,0.11,0.35,4266,4612.01,1
15:59:30,HeuristicController,ky=5.0,0,7,-0.09,0.11,0.15,0.34,0.33,538,589.51,1
15:59:30,HeuristicController,ky=5.0,0,8,0.05,0.34,0.46,0.10,0.47,1849,1943.36,1
15:59:30,HeuristicController,ky=5.0,0,9,0.36,0.12,-0.37,0.13,0.73,256,291.15,1
15:59:30,HeuristicController,ky=5.0,0,10,-0.27,0.14,-0.02,0.33,0.31,259,285.61,1
15:59:30,HeuristicController,ky=5.0,0,11,-0.11,0.29,-0.02,-0.09,0.40,485,469.51,1
15:59:31,HeuristicController,ky=5.0,0,12,-0.11,-0.12,-0.39,-0.09,0.28,3428,3687.07,1
15:59:31,HeuristicController,ky=5.0,0,13,-0.49,-0.08,0.08,0.28,0.67,2774,2969.12,1
15:59:31,HeuristicController,ky=5.0,0,14,-0.02,0.29,0.24,-0.33,0.67,426,409.22,1
15:59:31,HeuristicController,ky=5.0,0,15,0.15,-0.35,-0.29,-0.45,0.44,800,924.50,1
15:59:35,HeuristicController,ky=5.0,0,16,-0.21,-0.51,0.14,-0.40,0.36,82119,90076.24,0
