ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step,dx_bin_counts,dy_bin_counts,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,vx_abs_p50,vy_abs_p50,theta_abs_p50,omega_abs_p50,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_vx_abs_p90,near_vy_abs_p90,near_theta_abs_p90,near_omega_abs_p90
10420,2,max_steps,3,1,0,586.0793067228547,3500,1627.0,1627.0,0.12920490376303523,0.1,2.0086281299591064,18.510650634765625,-51.49016189575195,451.2223205566406,500.0,93.07730672284781,2206,-6.997999999999451,0.0,0.0,0.0,0.1674512304922442,"{1: 70, 0: 33, 2: 42, 3: 17, 6: 188}","{2: 43, 3: 204, 4: 38, 6: 38, 5: 27}","{1: 322, 0: 18, 2: 10}","{1: 334, 0: 13, 2: 3}","{1: 261, 0: 49, 2: 40}","{1: 309, 0: 26, 2: 15}",0.07511936518886798,0.039819918502882856,0.09673485914582262,0.0878997962799421,0.17702492885818683,0.0730241158968647,0.22427851185416586,0.2031412992447257,0.056057204903226576,0.06272521165558664,0.08955040997464138,0.04989512405503734
10430,2,crash,3,1,1,385.8504938585061,3125,866.0,866.0,0.12791865346858627,0.1,2.0118794441223145,18.54359245300293,-51.49016189575195,462.9664611816406,500.0,75.31693632232567,2100,-6.247999999999534,-103.21844246382541,-80.0,0.0,0.12347215803472196,"{1: 55, 2: 15, 3: 16, 6: 121, 5: 75, 4: 30}","{4: 23, 3: 151, 2: 71, 0: 16, 1: 11, 5: 40}",{1: 312},"{1: 264, 2: 4, 0: 44}","{1: 265, 0: 25, 2: 22}","{1: 300, 0: 2, 2: 10}",0.061751805616381904,0.03464569061587619,0.08653991363448921,0.0910878447299946,0.14161573939924607,0.08145169630793654,0.20077071234352817,0.18597564254111335,0.0261091787587949,0.08102640736992553,0.1047502739839329,0.07181029957717702
10440,2,crash,3,2,1,925.7214966672354,1847,794.5,794.5,0.12664520794989875,0.1,2.0164618492126465,18.54427719116211,-51.49016189575195,470.1502685546875,1000.0,34.90105537477285,1198,-3.689999999999815,-25.489558707537572,-80.0,0.0,0.5012027594300138,"{3: 57, 2: 83, 0: 1, 1: 17, 6: 26}","{5: 13, 4: 9, 3: 96, 1: 13, 2: 53}","{1: 174, 0: 10}","{1: 171, 2: 10, 0: 3}","{1: 169, 0: 15}","{1: 170, 0: 4, 2: 10}",0.04033483906276118,0.022550620408599384,0.060283860909198114,0.05549329494970292,0.12428698653866344,0.0793442744089945,0.147844119378569,0.1920458709554611,0.05893277671228307,0.06480167286788606,0.11214730054361854,0.1543808764935793
10450,2,crash,3,1,1,392.94215831147676,1146,346.0,346.0,0.12538443973389615,0.1,2.0217552185058594,18.525083541870117,-51.49016189575195,465.05548095703125,500.0,7.386287263799614,461,-2.2899999999999694,-32.154128952327305,-80.0,0.0,0.3428814644951804,"{3: 34, 6: 80}","{5: 6, 4: 22, 3: 6, 0: 80}",{1: 114},{1: 114},"{1: 109, 0: 5}","{1: 110, 2: 3, 0: 1}",0.024199701254117512,0.040649964366241825,0.038362920925700456,0.05829976983930517,0.11438810388607609,0.06908761749900655,0.15358631173707843,0.17359982427921555,0.017394555464960555,0.06769095531146263,0.038905864285338744,0.06000180000801599
10460,2,crash,3,2,1,964.0498357178897,2433,402.0,402.0,0.12413622261651158,0.1,2.027998924255371,18.506406784057617,-51.49016189575195,461.30401611328125,1000.0,55.61092603915054,1459,-4.861999999999687,-6.699090321240234,-80.0,0.0,0.3962391433283558,"{2: 30, 3: 50, 6: 163}","{3: 129, 0: 18, 1: 24, 2: 12, 6: 16, 5: 23, 4: 21}","{1: 214, 0: 29}","{1: 226, 0: 12, 2: 5}","{1: 198, 0: 39, 2: 6}","{1: 198, 0: 25, 2: 20}",0.06055903560236737,0.03220935541552527,0.09837718504373275,0.12235775568755014,0.20085909283400938,0.07886933575975508,0.25550395479654014,0.23689032955513079,0.21800021083437635,0.07995375697046411,0.3306652342340955,0.10653229617168625
10470,2,crash,3,2,1,763.4373506360138,3447,1131.5,1131.5,0.12290043165005485,0.1,2.034090280532837,18.52520751953125,-51.49016189575195,428.281982421875,1000.0,57.46485371519785,2095,-6.889999999999463,-207.13750307918713,-80.0,0.0,0.22147877883261205,"{3: 39, 4: 72, 0: 55, 1: 34, 2: 83, 5: 61}","{0: 5, 1: 20, 2: 68, 3: 195, 5: 24, 4: 32}",{1: 344},"{1: 326, 0: 14, 2: 4}","{1: 336, 0: 8}","{1: 341, 0: 3}",0.02562124511195466,0.03989683000501649,0.040697113397606635,0.0588293476798891,0.1070129845053846,0.07790812709250872,0.12609617661661898,0.1118166497390287,0.10296819310763623,0.0786524735809392,0.11958159973399442,0.12369571232579607
10480,2,max_steps,3,1,0,157.30676499633444,3500,3017.0,3017.0,0.1216769431307049,0.1,2.0431666374206543,18.57345962524414,-51.49016189575195,442.7198791503906,500.0,52.3851752183469,2173,-6.997999999999451,-388.0804102220123,0.0,0.0,0.0449447899989527,"{0: 143, 1: 41, 2: 70, 3: 47, 6: 49}","{6: 21, 5: 23, 4: 20, 3: 224, 2: 51, 1: 11}",{1: 350},"{1: 335, 2: 3, 0: 12}","{1: 339, 0: 7, 2: 4}","{1: 342, 0: 4, 2: 4}",0.037527365932740996,0.022707342267043757,0.05075421619930063,0.05994388188395229,0.0912590316074952,0.06728677149345347,0.12504087909790573,0.14304092544152894,0.04916169158127303,0.024882492717842444,0.06999529133502486,0.06510358703421236
10490,2,max_steps,3,2,0,1088.4754282780561,3500,1251.0,1251.0,0.12046563458612711,0.1,2.0518620014190674,18.665348052978516,-51.49016189575195,467.03546142578125,1000.0,95.47142827806317,2663,-6.9959999999994515,0.0,0.0,0.0,0.310992979508016,"{6: 64, 5: 34, 4: 85, 3: 44, 0: 36, 1: 20, 2: 67}","{4: 9, 3: 149, 2: 20, 0: 60, 1: 12, 6: 78, 5: 22}","{1: 315, 2: 11, 0: 24}","{1: 309, 2: 6, 0: 35}","{1: 284, 0: 44, 2: 22}","{1: 310, 0: 32, 2: 8}",0.06064236166014482,0.026367843165886563,0.08841625137076682,0.10429540442163657,0.18012781307661807,0.08106861940168145,0.22696927466774836,0.2010598822595691,0.19615024268852568,0.019364774445910973,0.3338220773332421,0.1455649759125331
10500,2,crash,3,2,1,852.2212691203028,1271,285.5,285.5,0.1192663847632135,0.1,2.0539581775665283,18.59268569946289,-51.49016189575195,424.8628845214844,1000.0,43.46482709001005,975,-2.537999999999942,-108.70555796970558,-80.0,0.0,0.6705124068609779,"{1: 18, 2: 34, 3: 6, 4: 60, 5: 9}","{5: 9, 4: 23, 3: 42, 0: 31, 1: 7, 2: 15}","{1: 109, 0: 18}","{1: 96, 2: 1, 0: 30}","{1: 107, 0: 20}","{1: 121, 2: 6}",0.04200422940282293,0.05584635033037106,0.06643833684441841,0.05757982089719402,0.19837831975495038,0.1280886819774255,0.2276487064553167,0.14422410225534227,0.22276412071102894,0.04838832891211759,0.23400989959956703,0.19202079103528558
10510,2,max_steps,3,1,0,561.3552938285371,3500,616.0,616.0,0.11807907361594545,0.1,2.058948278427124,18.5978946685791,-51.49016189575195,431.76275634765625,500.0,68.35329382852603,2119,-6.997999999999451,0.0,0.0,0.0,0.16038722680815345,"{1: 39, 2: 15, 3: 7, 6: 218, 5: 60, 4: 11}","{3: 103, 4: 26, 2: 161, 1: 60}","{1: 345, 2: 5}","{1: 340, 0: 10}","{1: 319, 0: 11, 2: 20}","{1: 331, 0: 17, 2: 2}",0.05655380901314253,0.025427286215574916,0.06512171069922905,0.07604710138782372,0.12587842374540434,0.06368666330212766,0.17130645089659519,0.1822556400147383,0.1008014627409603,0.024339103954353795,0.03669914053950388,0.0876680576950149
10520,2,crash,3,0,1,-137.69220826270225,3468,,,0.11690358229337676,0.1,2.0621280670166016,18.59222984313965,-51.49016189575195,432.241455078125,0.0,26.316535749604803,1580,-6.935999999999458,-77.07274401230703,-80.0,0.0,-0.039703635600548515,"{0: 15, 1: 15, 2: 13, 3: 186, 4: 117}","{0: 75, 1: 166, 2: 48, 3: 57}",{1: 346},"{1: 328, 0: 14, 2: 4}","{1: 333, 0: 13}",{1: 346},0.028937710614489937,0.021101813835583905,0.04358344481706597,0.04965680630789366,0.11616422769853356,0.07544720954180931,0.1430544402496577,0.13039609102455152,,,,
10530,2,max_steps,3,3,0,1543.8573798663895,3500,1077.0,579.0,0.11573979312773663,0.1,2.071420907974243,18.62034034729004,-51.49016189575195,429.4281921386719,1500.0,79.09657766758681,2722,-6.993999999999452,-28.245197801194454,0.0,0.0,0.44110210853325416,"{0: 62, 1: 52, 2: 75, 3: 77, 4: 57, 6: 27}","{0: 9, 1: 13, 2: 116, 3: 133, 5: 24, 4: 37, 6: 18}",{1: 350},"{1: 320, 0: 18, 2: 12}","{1: 329, 0: 21}","{1: 343, 2: 5, 0: 2}",0.0558997985251508,0.03347160910798837,0.0667575999553032,0.08598929892989204,0.12247351001906367,0.07912653117129406,0.15783304790731592,0.18320453080016388,0.09682449302584539,0.07870031712874348,0.15417494049636077,0.11573176229357911
10540,2,crash,3,1,1,453.21677073644014,3337,1901.0,1901.0,0.11458758962265105,0.1,2.0708773136138916,18.55120849609375,-51.49016189575195,427.5541076660156,500.0,50.30466057671646,2158,-6.671999999999487,-10.415889840279549,-80.0,0.0,0.1358156340235062,"{3: 240, 0: 27, 1: 9, 2: 50, 4: 7}","{0: 22, 1: 125, 2: 103, 3: 83}",{1: 333},"{1: 319, 0: 14}","{1: 314, 0: 19}","{1: 329, 0: 4}",0.020848655534761656,0.025213114677258692,0.031168919646004704,0.02694857300506405,0.11331884709167683,0.0682318358443857,0.15944177513401328,0.1267301511250134,0.08296537943184247,0.07920385997250409,0.10010012857281367,0.19441257343503784
10550,2,max_steps,3,0,0,-183.569887911214,3500,,,0.11344685644148135,0.1,2.076157331466675,18.603010177612305,-51.49016189575195,449.31500244140625,0.0,23.004793401804324,1857,-6.999999999999451,-199.57468131301795,0.0,0.0,-0.052448539403204,{6: 350},"{5: 21, 4: 33, 3: 162, 2: 124, 1: 10}",{1: 350},"{1: 338, 2: 9, 0: 3}",{1: 350},{1: 350},0.017697148670414657,0.021171345984266857,0.02398120168456237,0.024761948514283302,0.06960871119466076,0.07459335363834316,0.0798178026119414,0.10124992336518951,,,,
10560,2,max_steps,3,2,0,1064.8527046178538,3500,821.0,821.0,0.1123174793957789,0.1,2.0815768241882324,18.641448974609375,-51.49016189575195,465.929931640625,1000.0,71.84870461788444,1959,-6.9959999999994515,0.0,0.0,0.0,0.3042436298908154,"{4: 17, 3: 20, 2: 33, 0: 87, 1: 7, 6: 186}","{4: 33, 3: 146, 1: 52, 2: 119}","{1: 334, 0: 16}","{1: 340, 0: 10}","{1: 318, 2: 12, 0: 20}","{1: 337, 0: 4, 2: 9}",0.04459611637428035,0.020538540310676753,0.0657488433382447,0.06748835838023942,0.1372380519665055,0.05190828304017391,0.1721058618498774,0.1831671003436877,0.1532429725702237,0.04210911208181023,0.20355300736902548,0.19760987908907995
