ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step
5870,1,crash,3,1,1,436.82147723556767,581,436.0,436.0,0.1603886280152293,0.1,0.9128514528274536,14.307645797729492,-66.71833801269531,509.22296142578125,500.0,26.27071209151501,435,-1.1600000000000008,-8.289234855947933,-80.0,0.0,0.7518441948977068
5880,1,max_steps,3,1,0,556.6940907778612,3000,483.0,483.0,0.15958848684349283,0.1,0.9164248704910278,14.358918190002441,-66.71833801269531,478.92132568359375,500.0,92.67101804025609,1838,-5.9979999999995615,-29.978927262406835,0.0,0.0,0.18556469692595373
5890,1,max_steps,3,2,0,1081.1006083716143,3000,795.5,795.5,0.15879233738801846,0.1,0.925357460975647,14.453042984008789,-66.71833801269531,484.9549255371094,1000.0,87.09660837163452,1660,-5.995999999999562,0.0,0.0,0.0,0.36036686945720475
5900,1,crash,3,1,1,468.7290865959585,1726,843.0,843.0,0.15800015973507187,0.1,0.9310356974601746,14.520340919494629,-66.71833801269531,478.99957275390625,500.0,57.512465459204954,1255,-3.4499999999998416,-5.333378863249119,-80.0,0.0,0.2715695750845646
5910,1,crash,3,0,1,-31.736754805528868,1255,,,0.1572119340702637,0.1,0.9339753985404968,14.543169975280762,-66.71833801269531,496.9646911621094,0.0,53.10044480440066,778,-2.509999999999945,-2.327199609929517,-80.0,0.0,-0.02528825084105886
5920,1,crash,3,1,1,440.5195649745456,692,564.0,564.0,0.1564276406780539,0.1,0.9339479207992554,14.47300910949707,-66.71833801269531,451.1228332519531,500.0,29.84266340353504,563,-1.382000000000001,-7.941098428990244,-80.0,0.0,0.6365889667262219
5930,1,crash,3,0,1,-77.36309796411072,1329,,,0.15564725994125855,0.1,0.9388806819915771,14.482850074768066,-66.71833801269531,439.1651306152344,0.0,24.51237091492494,491,-2.657999999999929,-19.217468879035643,-80.0,0.0,-0.05821151088345427
5940,1,max_steps,3,2,0,1079.960069969547,3000,616.5,616.5,0.15487077234055943,0.1,0.9417053461074829,14.477728843688965,-66.71833801269531,450.2124938964844,1000.0,85.95606996956742,2056,-5.995999999999562,0.0,0.0,0.0,0.359986689989849
5950,1,max_steps,3,0,0,72.35158946104954,3000,,,0.1540981584540154,0.1,0.9428527355194092,14.5042724609375,-66.71833801269531,451.72332763671875,0.0,78.3515894610497,1571,-5.999999999999561,0.0,0.0,0.0,0.024117196487016514
5960,1,crash,3,1,1,452.8306192568883,2935,1675.0,1675.0,0.153329398956577,0.1,0.9419524073600769,14.447477340698242,-65.49076080322266,446.03314208984375,500.0,80.23396301043296,1694,-5.867999999999576,-41.53534375354936,-80.0,0.0,0.15428641201256843
5970,1,crash,3,0,1,-93.66749654638383,1652,,,0.15256447461960274,0.1,0.9455426335334778,14.5131196975708,-66.47945404052734,487.988525390625,0.0,6.407689681532475,545,-3.3039999999998577,-16.771186227916363,-80.0,0.0,-0.05669945311524445
5980,1,crash,3,1,1,460.17281187938863,2141,1003.0,1003.0,0.15180336631037838,0.1,0.9446356892585754,14.434794425964355,-66.96286010742188,446.03314208984375,500.0,50.63913345736797,1431,-4.279999999999751,-6.186321577982535,-80.0,0.0,0.21493358798663645
5990,1,crash,3,1,1,335.96266169960217,2737,513.0,513.0,0.15104605499163828,0.1,0.9489777684211731,14.465006828308105,-66.64325714111328,456.55889892578125,500.0,91.55381342220636,1821,-5.471999999999619,-170.11915172260836,-80.0,0.0,0.12274850628410748
6000,1,max_steps,3,0,0,4.893005542259148,3000,,,0.1502925217210893,0.1,0.9546854496002197,14.563013076782227,-67.5158920288086,490.2680969238281,0.0,10.893005542259242,878,-5.999999999999561,0.0,0.0,0.0,0.0016310018474197162
6010,1,crash,3,0,1,-88.66693245924188,426,,,0.14954274765093692,0.1,0.9536546468734741,14.5675687789917,-68.25645446777344,468.5025329589844,0.0,7.041995949415037,426,-0.8520000000000006,-14.856928408656906,-80.0,0.0,-0.20813833910620158
6020,1,crash,3,1,1,422.0315369108612,1239,483.0,483.0,0.14879671402741373,0.1,0.9570209383964539,14.63707160949707,-68.25645446777344,495.0476989746094,500.0,16.23437301640603,532,-2.475999999999949,-11.726836105548928,-80.0,0.0,0.34062270937115513
6030,1,crash,3,0,1,-74.00606421156894,863,,,0.14805440219031069,0.1,0.9582337737083435,14.62014389038086,-68.10611724853516,478.73492431640625,0.0,12.851040161212834,392,-1.7260000000000013,-5.1311043727817625,-80.0,0.0,-0.08575441971213087
6040,1,crash,3,1,1,435.09970319975537,725,317.0,317.0,0.14731579357250985,0.1,0.9664925932884216,14.729361534118652,-67.04081726074219,486.1859436035156,500.0,20.699410612178088,466,-1.448000000000001,-4.151707412424962,-80.0,0.0,0.600137521654835
6050,1,max_steps,3,1,0,557.1116105148881,3000,562.0,562.0,0.14658086969952053,0.1,0.9769490361213684,14.80531120300293,-66.93363189697266,485.78265380859375,500.0,66.62077074536496,2139,-5.9979999999995615,-3.5111602304852574,0.0,0.0,0.18570387017162937
6060,1,crash,3,1,1,442.4994219297073,2836,2225.0,2225.0,0.14584961218901682,0.1,0.9866838455200195,14.856830596923828,-66.85436248779297,442.5107116699219,500.0,44.4221816994024,1290,-5.669999999999598,-16.252759769696148,-80.0,0.0,0.15602941534898002
6070,1,success,3,3,0,1566.3112327899382,2262,754.0,717.0,0.14512200275037787,0.1,0.996436595916748,14.956108093261719,-66.85436248779297,455.15283203125,1500.0,94.00842360640793,1797,-4.5179999999997245,-23.179190816466544,0.0,0.0,0.6924452841688498
6080,1,crash,3,2,1,948.564134860671,1917,906.0,906.0,0.1443980231842305,0.1,1.001168966293335,15.02485466003418,-66.7789077758789,453.41339111328125,1000.0,39.45377248012196,1355,-3.8299999999998,-7.059637619454331,-80.0,0.0,0.49481697175830514
6090,1,success,3,3,0,1569.6700337563661,1566,522.0,512.0,0.14367765538199398,0.1,1.0082560777664185,15.08505916595459,-66.7789077758789,465.5550842285156,1500.0,72.7960337563707,1404,-3.1259999999998773,0.0,0.0,0.0,1.002343572002788
6100,1,crash,3,1,1,428.1814915275361,1169,606.0,606.0,0.14296088132542698,0.1,1.0114831924438477,15.111913681030273,-66.7789077758789,465.5550842285156,500.0,41.82170751722366,1119,-2.3359999999999643,-31.30421598968806,-80.0,0.0,0.3662801467301421
6110,1,max_steps,3,0,0,77.69312521044644,3000,,,0.14224768308617683,0.1,1.019796371459961,15.201351165771484,-66.7789077758789,454.3521423339844,0.0,83.69312521044664,1530,-5.999999999999561,0.0,0.0,0.0,0.025897708403482145
6120,1,crash,3,1,1,420.934373561129,997,793.0,793.0,0.14153804282533133,0.1,1.0287744998931885,15.305660247802734,-66.7789077758789,468.62835693359375,500.0,14.42557239091571,507,-1.9920000000000015,-11.499198829787915,-80.0,0.0,0.4222009764906008
6130,1,crash,3,1,1,478.50245282825625,1748,1698.0,1698.0,0.14083194279297248,0.1,1.0399621725082397,15.36113166809082,-66.7789077758789,463.555908203125,500.0,67.14551843617137,819,-3.493999999999837,-5.149065607915354,-80.0,0.0,0.2737428219841283
6140,1,max_steps,3,2,0,1051.8977070208123,3000,564.0,564.0,0.14012936532773232,0.1,1.043594241142273,15.365341186523438,-66.7789077758789,452.471435546875,1000.0,58.17723574693235,1785,-5.995999999999562,-0.2835287260892445,0.0,0.0,0.3506325690069374
6150,1,crash,3,0,1,-214.29442052062876,1265,,,0.1394302928563513,0.1,1.0442360639572144,15.358843803405762,-66.7789077758789,476.8779602050781,0.0,26.130930555718763,846,-2.529999999999943,-157.89535107634768,-80.0,0.0,-0.1694027039688765
6160,1,crash,3,0,1,-76.89348871668552,1108,,,0.13873470789323875,0.1,1.0456666946411133,15.272197723388672,-66.7789077758789,451.08209228515625,0.0,14.686471612644857,788,-2.2159999999999775,-9.363960329330368,-80.0,0.0,-0.0693984555204743
6170,1,success,3,3,0,1553.365653149383,2143,714.3333333333334,770.0,0.13804259304003558,0.1,1.0471335649490356,15.241023063659668,-66.7789077758789,434.5193786621094,1500.0,57.64565314938975,1463,-4.279999999999751,0.0,0.0,0.0,0.7248556477598614
6180,1,crash,3,0,1,-172.6891616858559,1081,,,0.137353930985179,0.1,1.0541644096374512,15.29744815826416,-66.7789077758789,448.0587158203125,0.0,14.047405066866242,531,-2.1619999999999835,-104.5745667527222,-80.0,0.0,-0.15974945576859936
6190,1,max_steps,3,0,0,25.780382982725406,3000,,,0.1366687045034695,0.1,1.0572272539138794,15.307487487792969,-66.7789077758789,436.1121826171875,0.0,61.79780954561567,1683,-5.999999999999561,-30.01742656289015,0.0,0.0,0.008593460994241802
6200,1,crash,3,1,1,446.05595186872205,947,279.0,279.0,0.13598689645564002,0.1,1.064558744430542,15.401290893554688,-65.31754302978516,458.1156921386719,500.0,40.67407600535006,912,-1.8920000000000015,-12.726124136629386,-80.0,0.0,0.47102001253296943
6210,1,crash,3,1,1,426.14165001664026,760,494.0,494.0,0.13530848978792734,0.1,1.0708870887756348,15.397740364074707,-65.31754302978516,493.3421325683594,500.0,20.194740709636015,594,-1.5180000000000011,-12.5350906929964,-80.0,0.0,0.5607126973903162
6220,1,max_steps,3,2,0,997.2343140707384,3000,1084.5,1084.5,0.1346334675316454,0.1,1.0738569498062134,15.37814712524414,-65.31754302978516,496.2206726074219,1000.0,79.0195663122221,2608,-5.995999999999562,-75.78925224148568,0.0,0.0,0.3324114380235795
6230,1,crash,3,0,1,-88.46623614147641,1577,,,0.13396181280276095,0.1,1.0777580738067627,15.332128524780273,-65.31754302978516,455.22796630859375,0.0,12.15747706831878,531,-3.1539999999998742,-17.46971320979514,-80.0,0.0,-0.05609780351393558
6240,1,crash,3,0,1,-74.562549953378,997,,,0.13329350880147128,0.1,1.0872496366500854,15.413992881774902,-65.31754302978516,460.9125671386719,0.0,17.80159061454042,698,-1.9940000000000015,-10.370140567918416,-80.0,0.0,-0.0747869106854343
6250,1,crash,3,1,1,444.5898057124447,569,513.0,513.0,0.13262853881178382,0.1,1.0931601524353027,15.431178092956543,-65.31754302978516,442.08935546875,500.0,30.421093562023568,512,-1.1360000000000008,-4.6952878495790245,-80.0,0.0,0.7813529098636989
6260,1,crash,3,1,1,463.873077432302,2093,1944.0,1944.0,0.13196688620109823,0.1,1.1000819206237793,15.483187675476074,-65.31754302978516,461.61834716796875,500.0,65.57941734071674,1305,-4.183999999999761,-17.522339908415866,-80.0,0.0,0.22163071066999618
6270,1,crash,3,1,1,404.0069713112713,970,711.0,711.0,0.1313085344197903,0.1,1.10233473777771,15.49294662475586,-65.31754302978516,463.70654296875,500.0,16.39931184616662,437,-1.9380000000000015,-30.454340534896367,-80.0,0.0,0.4165020322796611
6280,1,max_steps,3,0,0,29.461046654761773,3000,,,0.13065346700079802,0.1,1.1070821285247803,15.555076599121094,-64.53433990478516,467.2349853515625,0.0,35.461046654761994,1070,-5.999999999999561,0.0,0.0,0.0,0.009820348884920591
6290,1,max_steps,3,1,0,539.9773955742328,3000,2199.0,2199.0,0.13000166755920967,0.1,1.1139496564865112,15.554534912109375,-64.53433990478516,471.8766174316406,500.0,52.18954487148276,1699,-5.9979999999995615,-6.214149297251779,0.0,0.0,0.17999246519141093
6300,1,crash,3,0,1,-81.48246431695408,504,,,0.12935311979185396,0.1,1.1193386316299438,15.629249572753906,-64.53433990478516,482.00677490234375,0.0,17.45186591754761,493,-1.0080000000000007,-17.92633023450169,-80.0,0.0,-0.16167155618443269
